1. Dog
2. Cat
3. Elephant
4. Tiger
5. Lion
6. Dolphin
7. Giraffe
8. Bear
9. Rabbit
10. Horse
11. Zebra
12. Chimpanzee
13. Kangaroo
14. Koala
15. Penguin
16. Crocodile
17. Fox
18. Wolf
19. Deer
20. Gorilla
21. Rhinoceros
22. Hippopotamus
23. Octopus
24. Bald Eagle
25. Owl
26. Parrot
27. Flamingo
28. Bald Eagle
29. Bear
30. Rhino
31. Alligator
32. Leopard
33. Peacock
34. Platypus
35. Siberian Tiger
36. Polar Bear
37. Orangutan
38. Gorilla
39. Komodo Dragon
40. Orca
41. Blue Whale
42. Humpback Whale
43. Great White Shark
44. Hammerhead Shark
45. Bottlenose Dolphin
46. Beluga Whale
47. Seagull
48. Puffin
49. Pelican
50. Sea Turtle
51. Box Jellyfish
52. Clownfish
53. Seahorse
54. Starfish
55. Sea Urchin
56. Hermit Crab
57. Lobster
58. Shrimp
59. Crab
60. Octopus
61. Squid
62. Cuttlefish
63. Blue Tang
64. Triggerfish
65. Moray Eel
66. Nurse Shark
67. Manta Ray
68. Stingray
69. Jellyfish
70. Sea Anemone
71. Lionfish
72. Barracuda
73. Anglerfish
74. Hagfish
75. Grouper
76. Clown Wrasse
77. Parrotfish
78. Butterfly Fish
79. Surgeonfish
80. Damselfish
81. Surgeonfish
82. Emperor Angelfish
83. Moorish Idol
84. Clown Triggerfish
85. Boxfish
86. Porcupine Fish
87. Pufferfish
88. Remora
89. Flounder
90. Sole
91. Halibut
92. Turbot
93. Plaice
94. Dover Sole
95. Stargazer
96. Sandfish
97. Sardine
98. Herring
99. Anchovy
100. Mackerel
