1. Dog
2. Cat
3. Elephant
4. Lion
5. Tiger
6. Giraffe
7. Monkey
8. Zebra
9. Bear
10. Wolf
11. Hippo
12. Rabbit
13. Deer
14. Fox
15. Kangaroo
16. Rhinoceros
17. Camel
18. Dolphin
19. Penguin
20. Koala
21. Gorilla
22. Cheetah
23. Horse
24. Ostrich
25. Sloth
26. Panda
27. Gorilla
28. Parrot
29. Orangutan
30. Flamingo
31. Alligator
32. Crocodile
33. Octopus
34. Owl
35. Walrus
36. Buffalo
37. Raccoon
38. Squirrel
39. Hedgehog
40. Chimpanzee
41. Polar bear
42. Octopus
43. Jellyfish
44. Bald eagle
45. Moose
46. Platypus
47. Kangaroo
48. Blue whale
49. Salmon
50. Bat
51. Lizard
52. Seal
53. Antelope
54. Ocelot
55. Caiman
56. Manatee
57. Bison
58. Turkey
59. Jaguar
60. Red panda
61. Flamingo
62. Alpaca
63. Lemur
64. Hyena
65. Ibex
66. Reindeer
67. Wallaby
68. Emu
69. Cougars
70. Tapir
71. Armadillo
72. Toucan
73. Vulture
74. Hare
75. Chinchilla
76. Parakeet
77. Quokka
78. Wolverine
79. Skunk
80. Snail
81. Heron
82. Sawfish
83. Porcupine
84. Tasmanian devil
85. Kakapo
86. Starfish
87. Mantis shrimp
88. Komodo dragon
89. Aye-aye
90. Lemming
91. Tarantula
92. Seahorse
93. Angelfish
94. Cheetah
95. Ocelot
96. Sloth bear
97. Tapir
98. Dingo
99. Gila monster
100. Peacock
