1. Lion
2. Elephant
3. Giraffe
4. Tiger
5. Zebra
6. Cheetah
7. Kangaroo
8. Panda
9. Dolphin
10. Gorilla
11. Penguin
12. Hippopotamus
13. Rhinoceros
14. Ostrich
15. Alligator
16. Bear
17. Wolf
18. Otter
19. Chimpanzee
20. Sloth
21. Fox
22. Koala
23. Bison
24. Moose
25. Crocodile
26. Camel
27. Kangaroo
28. Peacock
29. Parrot
30. Flamingo
31. Lion
32. Monkey
33. Whale
34. Octopus
35. Rhinoceros
36. Cheetah
37. Elephant
38. Giraffe
39. Jaguar
40. Seal
41. Panda
42. Tiger
43. Zebra
44. Walrus
45. Kangaroo
46. Gorilla
47. Sloth
48. Ostrich
49. Chimpanzee
50. Bison
51. Polar Bear
52. Orangutan
53. Dolphin
54. Hippopotamus
55. Crocodile
56. Penguin
57. Bear
58. Wolf
59. Fox
60. Kangaroo
61. Peacock
62. Parrot
63. Flamingo
64. Lion
65. Monkey
66. Whale
67. Octopus
68. Dolphin
69. Giraffe
70. Cheetah
71. Orangutan
72. Tiger
73. Zebra
74. Walrus
75. Kangaroo
76. Gorilla
77. Sloth
78. Ostrich
79. Chimpanzee
80. Bison
81. Polar Bear
82. Elephant
83. Seal
84. Panda
85. Tiger
86. Zebra
87. Koala
88. Bison
89. Moose
90. Camel
91. Alligator
92. Bear
93. Wolf
94. Otter
95. Chimpanzee
96. Orangutan
97. Fox
98. Kangaroo
99. Parrot
100. Flamingo
