1. Dog
2. Cat
3. Elephant
4. Lion
5. Tiger
6. Giraffe
7. Bear
8. Monkey
9. Zebra
10. Wolf
11. Fox
12. Deer
13. Kangaroo
14. Horse
15. Rabbit
16. Cow
17. Pig
18. Sheep
19. Goat
20. Chicken
21. Duck
22. Fish
23. Dolphin
24. Whale
25. Shark
26. Octopus
27. Penguin
28. Koala
29. Sloth
30. Gorilla
31. Hippo
32. Rhino
33. Ostrich
34. Camel
35. Parrot
36. Eagle
37. Owl
38. Crow
39. Hawk
40. Bat
41. Butterfly
42. Bee
43. Ant
44. Spider
45. Snail
46. Crab
47. Lobster
48. Jellyfish
49. Starfish
50. Seahorse
51. Crocodile
52. Alligator
53. Turtle
54. Frog
55. Salamander
56. Lizard
57. Snake
58. Gecko
59. Chameleon
60. Iguana
61. Tarantula
62. Scorpion
63. Centipede
64. Millipede
65. Grasshopper
66. Cricket
67. Beetle
68. Ladybug
69. Dragonfly
70. Firefly
71. Moth
72. Mosquito
73. Fly
74. Wasp
75. Cicada
76. Hornet
77. Locust
78. Flea
79. Tick
80. Mite
81. Flea
82. Termite
83. Antelope
84. Bison
85. Ram
86. Anteater
87. Armadillo
88. Baboon
89. Cheetah
90. Chimpanzee
91. Falcon
92. Gazelle
93. Hedgehog
94. Jaguar
95. Lemur
96. Orangutan
97. Porcupine
98. Raccoon
99. Squirrel
100. Tapir
