1. Dog
2. Cat
3. Elephant
4. Giraffe
5. Lion
6. Tiger
7. Zebra
8. Bear
9. Gorilla
10. Hippopotamus
11. Rhinoceros
12. Koala
13. Kangaroo
14. Cheetah
15. Panda
16. Penguin
17. Dolphin
18. Octopus
19. Fox
20. Wolf
21. Moose
22. Otter
23. Raccoon
24. Squirrel
25. Chipmunk
26. Rabbit
27. Deer
28. Moose
29. Owl
30. Bat
31. Seal
32. Walrus
33. Shark
34. Whale
35. Jellyfish
36. Starfish
37. Crab
38. Lobster
39. Shrimp
40. Squid
41. Elephant seal
42. Sea lion
43. Sea otter
44. Alpaca
45. Llama
46. Camel
47. Cows
48. Pig
49. Sheep
50. Goat
51. Horse
52. Donkey
53. Chicken
54. Duck
55. Turkey
56. Goose
57. Pheasant
58. Peacock
59. Cardinal
60. Sparrow
61. Finch
62. Blue Jay
63. Eagle
64. Falcon
65. Hawk
66. Osprey
67. Seagull
68. Pelican
69. Flamingo
70. Swan
71. Duck
72. Rook
73. Crow
74. Raven
75. Parrot
76. Macaw
77. Cockatoo
78. Budgie
79. Canary
80. Lovebird
81. Finch
82. Goldfish
83. Betta fish
84. Angelfish
85. Guppy
86. Tetra
87. Clownfish
88. Swordtail
89. Mollies
90. Platies
91. Cichlids
92. Catfish
93. Gourami
94. Danio
95. Shark
96. Eel
97. Axolotl
98. Frog
99. Toad
100. Newt
